censustract2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
2705,632.1169270018859,604.4959295042474,578.0818598235606,552.8219800108989,528.665856556108,505.56525969299065,483.47406710445335,462.3481718353565,415.8218704557065,373.97753139782145,336.3440067188731,302.4975603022668,272.05709678456105,244.67987059758573,220.0576268115523,197.91313032683217,177.99704433470419,160.08512289997978,143.97568605528284,129.48734897771055,116.45697967945314,104.73786221691134,94.19804473689418
2707,224.61070253363926,212.86906199432482,201.74122178152788,191.1950951660072,181.20027276887296,171.72793487723047,162.75076834356872,154.24288782927658,136.94135845010362,121.58055336020688,107.94278019930748,95.83476530687983,85.08491466003264,75.54088205384616,67.06741006057099,59.5444131698984,52.865275944687106,46.93534207371687,41.67057290841983,36.996356472456874,32.846450065497905,29.16204147585347,25.89091549752248
2708,426.1807359820183,404.52120205384136,383.962457932376,364.448558822015,345.926403176731,328.3455881992686,311.658272684216,295.8190468317232,263.4761532781178,234.6694172999741,209.01221886968784,186.16020843051336,165.80668532349682,147.67848150657167,131.53229532052072,117.1514260966639,104.34286578089474,92.93470854026467,82.7738435860112,73.72390024802175,65.66341772123306,58.484214919826364,52.08993856075834
2709,341.94118059182244,324.7882527348037,308.49577384026105,293.02058087368533,278.3216760045821,264.3601179925042,251.0989190215288,238.5029467098666,212.8464545541989,189.9499098072087,169.51641647655032,151.28101658072345,135.00725447946806,120.48411078965718,107.5232661292438,95.95665920864852,85.63430760573257,76.42236296667869,68.20137541486717,60.86474466260277,54.317337741494974,48.47425542781316,43.25973136724285
2710,306.20335488203335,292.0887680405372,278.6247996802883,265.78145923812696,253.53013857992792,241.8435482768871,230.69565681918326,220.06163263161415,196.96930404732512,176.30018587490036,157.7999967551112,141.2411385293849,126.41989621860202,113.15393182416955,101.28004111891366,90.65214583076308,81.13949651810805,72.62506402774967,65.00409974638728,58.18284693317052,52.077387279513715,46.612608506000974,41.72128029526605
2711,713.1024267714457,679.8329827103277,648.1157082486696,617.8781876748939,589.0513837969379,561.5694803190838,535.369731572618,510.3923192572344,460.25538350169023,415.0435068273911,374.2728900833075,337.50725875002865,304.35319449293775,274.4559253069639,247.49552920447368,223.18351082307007,201.25971432057312,181.48953952296966,163.66143153614,147.58461695842624,133.08706246991142,120.01363395386608,108.22443645165643
2712,746.8590187239662,716.0441512828314,686.5006831708995,658.1761573637361,631.0202811761113,604.9848369629162,580.0235965044959,556.092238924382,517.1723765453938,480.9764430069328,447.3137955915091,416.0071343111461,386.89156807453713,359.8137462114281,334.63105077999415,311.2108454031223,289.4297766772466,269.17312447428094,250.33419771471182,232.81377242940977,216.5195691504501,201.3657668783792,187.27255106600816
2801,2147.0761645906236,2328.2505336127183,2524.7127403612462,2737.7528016504584,2968.7695883661113,3219.280010778987,3490.928978932631,3785.5002035075427,3905.149608093236,4028.580806166735,4155.913329973385,4287.270489848934,4422.779493634731,4562.57156986732,4706.782094861722,4855.55072381147,5009.021526032368,5167.343124480936,5330.668839682655,5499.156838209391,5672.970285849796,5852.277505620998,6037.252140774629
2803,2365.5659159036513,2337.469549910226,2309.706890864778,2282.273975253765,2255.166886639198,2228.3817550995154,2201.9147566770976,2175.762112832341,2000.88037391178,1840.055145318107,1692.1566036415738,1556.145737552211,1431.067048576106,1316.0418385630896,1210.2620366891979,1112.984522627597,1023.5259060073236,941.2577254846874,865.602033700032,796.0273371034559,732.0448621261085,673.2051214663072,619.0947563680768
2804,2963.1218077650938,2904.429655194534,2846.900049760693,2790.509964265114,2735.2368276214856,2681.058515821183,2627.953343077758,2575.9000531468364,2509.5344279992687,2444.8786503265073,2381.8886675278186,2320.5215619760024,2260.7355217758745,2202.489812276129,2145.7447483151705,2090.461667182003,2036.6029022737623,1984.1317574319307,1933.0124819397593,1883.2102461638547,1834.6911178233402,1787.4220388704173,1741.3708029665786
2902,2758.750255897739,2742.5956664561586,2726.5356744720566,2710.569726005081,2694.697270358624,2678.917760060826,2663.230650845694,2647.635401634328,2420.2008054106786,2212.3030742431033,2022.2639713876904,1848.5494223579083,1689.7571312388545,1544.6052607728095,1411.9220848370517,1290.6365297844384,1179.7695282925324,1078.4261159259547,985.7882066121356,901.1079887111091,823.7018883696841,752.9450514296822,688.2662993459178
2903,1401.633161958356,1350.223725567958,1300.6998967828235,1252.9925148361622,1207.0349556563312,1162.7630388253247,1120.11493794986,1079.0310943198967,970.5024099474136,872.8895141871632,785.0944996820637,706.129886329312,635.107514534073,571.2285555770052,513.7745267365843,462.0992101082334,415.621384226654,373.8182867398114,336.2197346055763,302.4028356775546,271.987232198325,244.6308227009671,220.02591420069072
2904,4319.394108915654,4375.507848999827,4432.350569062865,4489.931739366578,4548.260953202021,4607.347928487783,4667.202509389042,4727.834667957642,4959.900336631979,5203.356943940923,5458.763613876051,5726.706915018713,6007.802207657165,6302.695057026917,6612.062715919955,6936.615680067805,7277.099319870553,7634.295592219233,8009.024836343,8402.147657805413,8814.566904976644,9247.22974252078,9701.129826660215
2905,1969.1719945746786,1909.2261665274339,1851.1052183333306,1794.753596727248,1740.1174396048611,1687.1445245400726,1635.7842188696811,1585.9874312975837,1534.3625132851596,1484.4180197875812,1436.0992518986068,1389.3532911968173,1344.128941789682,1300.3766742441273,1258.0485713422036,1217.098275602437,1177.4809385093986,1139.153171395881,1102.072997923894,1066.1998081124345,1031.4943138616804,997.9185059249029,965.43561228097
3001,270.307967461892,266.6656834794864,263.0724777123219,259.5276888524877,256.03066450291345,252.58076105729972,249.17734358166607,245.81978569749518,241.9280753901081,238.09797692195374,234.32851488159764,230.6187292998884,226.9676754054824,223.37442338423875,219.8380581424235,216.3576790736627,212.93239982958474,209.56134809409414,206.2436653612187,202.97850671647365,199.76504062168732,196.6024487032332,193.48992554361467
3003,1238.127192613597,1229.3175181148572,1220.570527292913,1211.8857741331772,1203.2628157945999,1194.7012125870885,1186.2005279490872,1177.7603284253166,1162.829306364665,1148.0875718987768,1133.532725339715,1119.1623974215156,1104.9742489145146,1090.9659702445638,1077.135281117073,1063.4799301458204,1049.997694486467,1036.6863794747176,1023.5438182690692,1010.5678714980888,997.756426912162,985.1073990396569,972.6187288474472
3004,312.7571065042591,305.678148965364,298.75941684995354,291.9972836090352,285.3882047770793,278.9287161141384,272.61543179001825,266.4450426095479,260.1189260399079,253.9430083647968,247.9137234615122,242.027589876624,236.28120881570018,230.67126218076132,225.19451065433154,219.84779182897896,214.62801838126597,209.53217628905483,204.55732309113904,199.70058618819587,194.95916118407874,190.33031026649172,185.81136062611125
3101,216.19127937125222,214.39756548705884,212.6187338382068,210.85466094852148,209.10522436629574,207.37030265579,205.64977538880285,203.94352313631168,199.9429741517136,196.02089979544422,192.17576071195134,188.40604774162716,184.71028132848576,181.08701093945945,177.5348144950862,174.0522978113648,170.6380940525584,167.29086319473188,164.00929149981266,160.79209099996797,157.6379989920968,154.54577754223786,151.51421299969888
3103,487.32686672085777,482.6981199755461,478.1133381701861,473.57210371529817,469.07400298776696,464.6186262931682,460.20556782845284,455.834425644986,447.44543016208377,439.2108224157211,431.12776111539523,423.1934572605837,415.40517317842057,407.7602215790825,400.2559646285593,392.88981303848885,385.6592251727423,378.56170617045126,371.5948070851746,364.75612403990743,358.04329739764137,351.45401094718903,344.98599110399255
3105,514.5600700091043,503.3689460984302,492.42121700535597,481.71158915635795,471.23488410740003,460.9860360399922,450.96008931170695,441.15219605996924,430.24108746248226,419.5998455728785,409.221795722001,399.10042832666693,389.2293948065621,379.60250360212336,370.2137162909124,361.05714380004287,352.1270427122876,343.41781166354673,334.92398782941825,326.6402434986671,318.5613827314432,310.6823381001525,302.9981675109368
3107,774.3370738261069,759.9466462630896,745.8236531448979,731.9631244189069,718.3601823968961,705.010040038531,691.907999266746,679.0494493144337,662.9027876967101,647.1400667208065,631.7521569195965,616.7301459094317,602.0653332282602,587.7492252964839,573.7735304976401,560.1301543760551,546.8111949486902,533.8089381284638,521.1158532563994,508.724588740012,496.6279677954054,484.8189842906165,473.29079868779723
3108,779.7645746044199,764.8211217710841,750.1640461211379,735.7878595058861,721.6871789518289,707.8567246450775,694.2913179543986,680.9858794921429,665.4165106279216,650.2031039857231,635.3375212071713,620.8118100010427,606.6181998892157,592.7490980498815,579.1970852557902,565.9549119053613,553.0154941445352,540.37191007729,528.0173960627975,515.9453430972379,504.14929327833596,492.6229363507289,481.3601063303176
3109,185.79168859011716,182.63783888448188,179.53752638517275,176.48984228779875,173.4938932150984,170.5488009550614,167.6537022034955,164.80774831096338,160.15122353007544,155.62626551869468,151.22915695206646,146.9562855357822,142.80414103822224,138.76931240684496,134.84848496595293,131.03843769363436,127.33604057564246,123.73825203403912,120.24211642849048,116.8447616281614,113.54339665221455,110.33530937697536,107.2178643078794
3111,232.26614885438244,227.62685191411873,223.08022054826654,218.6244038495027,214.2575878806296,209.9779949361318,205.78388281848248,201.67354412890484,198.53961950680747,195.45439479514908,192.41711321718398,189.42702975616842,186.48341097261505,183.58553482438694,180.73269048958755,177.92417819220267,175.15930903045196,172.43740480780772,169.75779786663975,167.11983092444507,164.52285691262276,161.966238817754,159.44934952534874
3112,328.2376691322264,323.54344575782864,318.9163558515273,314.35543931786486,309.859749791991,305.42835444329734,301.0603337818601,296.7547814676512,292.7847822423957,288.8678938508413,285.0034057737923,281.1906169974117,277.42883588605827,273.71738005682425,270.0555762557522,266.4427602357073,262.87827663588365,259.3614788629227,255.89172897362172,252.46839755921178,249.09086363118365,245.75851450864116,242.47074570716154
3113,273.4667621281891,269.0074460031495,264.62084621170845,260.30577699689707,256.06107193742406,251.8855836323765,247.77818339106182,243.73776092790763,237.18254719415532,230.80363288537345,224.59627651051272,218.55586409872063,212.6779057697451,206.95803239657553,201.3919923578404,195.97564837754786,190.70497444981987,185.5760528463343,180.58507120425034,175.72831969245289,171.0021882540095,166.4031639227901,161.9278282122551
3114,116.99585266469391,115.02545832553585,113.08824852893514,111.18366439495449,109.31115645607454,107.47018449867396,105.66021740717925,103.88073301083925,101.33409836379474,98.84989442779316,96.42659071486842,94.0626942569445,91.75674868603583,89.50733333699674,87.3130623722667,85.17258392807271,83.08457928156233,81.04776203835452,79.06087734000765,77.12270109091638,75.2320392041612,73.3877268658459,71.5886278174699
3115,496.72733025736386,487.6245862146408,478.68865390958547,469.91647644466326,461.3050529413142,452.85143751338126,444.5527382593504,436.40611627305884,426.97418779499526,417.7461090603199,408.71747431914014,399.8839730418555,391.24138786118687,382.78559255868447,374.5125500947524,366.41831068125,358.49900989574957,350.7508668365501,343.170182317566,335.75333710222975,328.496790175564,321.39707705359956,314.4508081293311
3201,996.5888385049179,990.2186570613973,983.889193725541,977.6001882277936,971.3513819622393,965.142517975967,958.9733409585053,952.8435972313235,931.7757815235037,911.1737850330123,891.0273082800056,871.3262795109362,852.0608496634183,833.2213874424225,814.7984745053382,796.7829007534963,779.1656597277989,761.9379441061533,745.09114130046,728.6168291509538,712.5067717157442,696.7529151534519,681.3473836968813
3202,658.2688982285044,670.7708086299832,683.510156595514,696.4914515636557,709.7192886166864,723.1983501071581,736.9334073153425,750.9293221381552,733.5090483212258,716.4928950132581,699.8714873107646,683.6356677919575,667.776491471547,652.2852208725777,637.1533212125908,622.3724557014591,607.9344809483046,593.8314424749661,580.0555703335492,566.5992748256392,553.4551423208222,540.6159311722096,528.0745677267141
3204,999.6134425284321,982.5241243692655,965.7269639409978,949.2169665364718,932.9892228376775,917.0389074559462,901.3612774970999,885.9516711511321,859.6257020822918,834.082006663337,809.2973397076723,785.2491467571965,761.9155435573705,739.2752961421835,717.3078015108912,695.9930688789435,675.3117014860389,655.2448789447508,635.7743401136627,616.8823664794265,598.5517660326217,580.7658576227412,563.5084557780681
3207,1999.4511143995842,1971.3041217326129,1943.5533644076756,1916.1932644773117,1889.2183225168333,1862.6231165189326,1836.4023008038494,1810.5506049448802,1771.8537621486175,1733.9839857918726,1696.9235990088873,1660.6553027410155,1625.1621676618634,1590.4276262750132,1556.435465180642,1523.1698175074266,1490.6151555062,1458.7562833019037,1427.5783298004533,1397.0667417472039,1367.207276933778,1337.9859975500829,1309.3892636784149
3208,662.1426792505214,654.3775040075504,646.7033936489973,639.1192802255996,631.6241083123034,624.2168348613882,616.8964290573132,609.6618721732665,598.8915586635378,588.3115139870631,577.9183768462465,567.7088453243234,557.6796758363366,547.8276820986437,538.1497341166294,528.6427571903013,519.3037309374528,510.12968833408235,501.11771477176524,492.2649471316777,483.5685728749792,475.0258291492646,466.6340019108009
3209,475.841956016005,468.7899940064961,461.8425418401291,454.9980506844941,448.2549946608262,441.61187050383313,435.0671972265645,428.6195157902473,422.3098004244715,416.09297048861765,409.9676586146522,403.9325175635903,397.98621992917566,392.1274578459227,386.3549427014564,380.667404853087,375.0635933485569,369.54227565089843,364.1022373673423,358.74228198221624,353.461230593776,348.25792165491055,343.1312107176641
3211,466.8002850146918,456.81867104779343,447.0504944342614,437.4911912324363,428.1362950916526,418.9814351654457,410.0223340693808,401.25480588254953,391.48451065557776,381.9521158036862,372.65182860647604,363.57799739254693,354.72510810504485,346.087780950837,337.66076713127677,329.43894565257284,321.41732021382336,313.5910161708249,305.9552775738102,298.50546427731547,291.2370491204206,284.1456151756482,277.2268530648507
3212,593.5603896176186,583.3012187467206,573.2193686485682,563.3117744890885,553.5754244071779,544.0073585991111,534.6046684187746,525.3644954934531,513.2318203524561,501.3793350745725,489.8005690044457,478.48920091889437,467.43905557595207,456.644100343603,446.09844190637267,435.7963230479764,425.73211950826845,415.9003369127765,406.2956077731447,396.9126885568481,387.74645682457833,378.79190843373857,370.04415480651977
3213,319.8016080384536,313.7210690306157,307.7561421826184,301.904629305866,296.1643740069607,290.53326089303073,285.00921479216805,279.5901999886882,271.7643986122739,264.15764342269154,256.7638032610146,249.57691858102683,242.59119664573848,235.80100685835316,229.20087622392236,222.7854849380293,216.54966209894664,210.48838153981205,204.5967577774623,198.87004207466032,193.3036186125418,187.89300077019578,182.63382750838082
